 10 , 36 , 4.017857
 13 , 36 , 4.017857
 32 , 277 , 30.915179
 33 , 3 , 0.334821
 34 , 8 , 0.892857
 35 , 1 , 0.111607
 37 , 4 , 0.446429
 40 , 22 , 2.455357
 41 , 22 , 2.455357
 42 , 5 , 0.558036
 43 , 8 , 0.892857
 44 , 6 , 0.669643
 46 , 2 , 0.223214
 47 , 3 , 0.334821
 48 , 9 , 1.004464
 49 , 2 , 0.223214
 50 , 2 , 0.223214
 51 , 1 , 0.111607
 53 , 1 , 0.111607
 54 , 1 , 0.111607
 58 , 2 , 0.223214
 59 , 20 , 2.232143
 60 , 4 , 0.446429
 61 , 10 , 1.116071
 62 , 2 , 0.223214
 67 , 3 , 0.334821
 69 , 2 , 0.223214
 70 , 2 , 0.223214
 73 , 1 , 0.111607
 76 , 1 , 0.111607
 79 , 3 , 0.334821
 83 , 3 , 0.334821
 91 , 10 , 1.116071
 92 , 3 , 0.334821
 93 , 10 , 1.116071
 97 , 20 , 2.232143
 98 , 4 , 0.446429
 99 , 21 , 2.343750
100 , 8 , 0.892857
101 , 31 , 3.459821
102 , 26 , 2.901786
103 , 5 , 0.558036
104 , 5 , 0.558036
105 , 40 , 4.464286
107 , 3 , 0.334821
108 , 12 , 1.339286
109 , 7 , 0.781250
110 , 47 , 5.245536
111 , 25 , 2.790179
112 , 7 , 0.781250
114 , 23 , 2.566964
115 , 7 , 0.781250
116 , 33 , 3.683036
117 , 18 , 2.008929
118 , 2 , 0.223214
119 , 2 , 0.223214
120 , 3 , 0.334821
121 , 4 , 0.446429
122 , 4 , 0.446429
123 , 7 , 0.781250
125 , 7 , 0.781250
